Tasks;hh2e;wfsl;37ir;hvpa;ql3b;r0a3;qx2o;wssm;ctzy;uyrl;v8mh;45lx;r3zm;2hpu;4woj;cxj0;tmvd;2ea4;71i5;kkf5;uymz;iqyg;9txq;kycf;k67g;chdf;bfl5;dmbd;8g4y;qw5t;h8r2;2z7d;j9h8;9t6n;u3v9;w2t5;7m3c;6k5f;x1q3;r5s8;y9z6;4e8r;5f7t;k2v7;6g6y;9j3o;8i4i;7h5u;h8s1;i9t9;j1u8;m8g5;p9i3;g9j5;h7j3;y8c3;g7r2;f6q3;e5p4;d4n6;c3m7;b2l8;a1k9;t6v9;b9w0
Video2_valence;;4;5;7;3;8;9;5;5;6;5;4;3;5;7;5;5;5;5;6;5;5;3;5;5;5;6;4;4;4;4;5;5;5;5;4;1;4;3;6;5;4;6;3;4;6;8;5;5;5;10;6;2;6;7;6;5;8;8;5;7;6;7;4;5
Video2_arousal;;2;8;6;3;8;2;2;5;6;8;5;6;7;8;7;3;6;8;8;5;2;7;7;3;5;7;7;6;8;5;7;7;6;6;5;5;8;9;5;4;4;6;6;6;3;7;7;5;7;10;8;8;2;8;7;6;1;4;7;7;7;8;7;7
Counting1_relax;6;1;3;6;4;7;7;5;7;6;3;2;5;4;3;0;6;4;0;6;6;3;1;5;7;2;6;4;7;0;3;2;3;3;0;2;2;2;5;7;6;3;3;7;6;4;9;5;2;5;10;4;4;6;7;8;3;10;8;1;2;2;4;2;3
Counting1_stress;5;9;4;3;2;5;5;6;6;3;6;7;5;7;8;7;3;7;9;6;3;7;8;5;2;4;2;9;4;9;7;7;7;7;4;6;7;7;8;2;5;4;4;6;5;6;0;4;8;5;2;6;7;6;2;0;5;1;2;8;9;7;8;7;4
Counting1_valence;;2;4;7;6;5;5;4;7;5;4;5;5;8;4;6;7;5;7;8;5;5;5;6;5;5;5;0;8;5;5;4;2;4;5;3;4;3;7;4;7;5;6;5;5;4;9;6;3;5;10;6;4;5;5;6;6;5;8;5;7;5;5;3;5
Counting1_arousal;;8;8;7;6;3;5;7;9;6;9;6;7;9;7;10;8;8;9;9;7;8;10;8;0;8;8;4;8;8;9;7;8;8;6;7;8;6;9;5;7;6;9;8;4;3;7;8;7;7;10;6;9;2;7;6;8;1;5;8;7;6;7;10;9
Counting2_relax;3;0;2;5;4;3;4;2;4;6;3;1;4;6;6;0;5;5;1;3;6;3;0;4;3;1;5;6;6;2;3;1;5;2;0;1;0;1;7;4;4;3;3;7;3;4;9;4;2;4;7;1;4;5;8;6;1;9;9;7;2;1;2;2;1
Counting2_stress;7;10;6;4;7;7;7;6;6;5;7;8;6;6;4;9;4;6;8;8;3;8;10;6;5;7;3;7;5;8;7;8;6;8;4;8;8;7;8;7;6;4;5;6;7;7;1;5;8;6;4;8;4;6;1;3;5;1;2;5;8;9;8;4;6
Counting2_valence;;1;3;7;6;5;5;2;6;5;4;5;5;9;6;3;5;5;2;6;5;5;2;5;5;5;5;5;5;5;3;3;5;3;4;6;3;2;7;3;6;5;5;6;3;4;9;6;3;5;10;3;5;5;6;5;5;5;9;5;7;3;3;3;3
Counting2_arousal;;9;9;8;6;2;6;7;9;5;8;6;7;10;8;10;8;7;9;9;7;8;9;7;2;10;9;5;6;7;9;9;9;9;6;7;8;6;9;7;8;5;9;7;7;4;7;6;7;7;10;6;7;2;8;6;9;1;5;6;7;4;6;8;9
Stroop_relax;6;4;1;5;1;2;7;5;2;4;2;4;3;3;8;4;4;7;7;2;5;2;4;4;1;2;4;6;4;4;3;1;3;3;0;6;6;2;7;3;4;3;2;6;2;5;9;2;2;4;9;3;4;6;6;8;0;6;9;3;4;2;2;0;3
Stroop_stress;6;7;7;3;8;6;2;4;7;6;7;7;7;6;3;7;4;4;7;9;5;8;7;7;7;6;7;5;5;7;5;8;9;7;6;4;3;5;7;6;6;4;5;7;6;7;1;6;9;6;2;7;5;6;2;1;7;2;2;6;7;8;8;5;6
Stroop_valence;;4;2;7;5;5;7;5;10;6;4;5;3;5;7;7;6;5;8;4;5;4;7;6;6;5;4;6;7;6;5;6;2;7;6;8;8;3;8;8;6;5;6;7;5;4;9;4;3;5;10;5;6;6;7;6;3;5;8;5;8;6;5;5;4
Stroop_arousal;;7;9;8;9;3;2;6;10;7;8;7;8;8;8;9;9;6;8;9;8;8;9;9;4;10;9;6;8;9;10;9;8;9;7;10;10;7;8;7;7;6;9;7;8;4;7;8;8;7;10;6;7;3;7;5;6;3;4;4;8;7;7;7;9
Speaking_relax;6;5;1;6;0;9;3;3;4;4;4;3;7;3;2;6;5;4;7;3;6;1;3;5;3;3;5;8;2;4;3;1;3;4;3;2;2;2;8;3;2;4;3;7;4;3;9;4;3;4;9;6;3;7;6;7;4;8;7;4;1;6;3;3;2
Speaking_stress;6;4;8;3;8;2;7;7;7;7;4;8;2;7;8;3;5;6;2;6;3;8;8;6;7;5;3;2;7;8;7;9;8;7;5;7;8;8;8;3;7;3;4;6;7;7;0;6;8;6;2;4;5;5;3;1;3;1;2;7;9;7;7;6;7
Speaking_valence;;5;2;7;5;9;2;2;9;4;6;3;7;4;4;6;4;5;8;5;5;4;5;5;4;5;5;7;3;7;3;2;3;6;5;5;0;3;8;8;4;4;4;7;3;6;8;7;3;5;10;5;5;6;6;5;5;5;8;5;6;8;7;5;4
Speaking_arousal;;5;8;8;10;7;8;6;9;5;4;8;5;7;8;6;8;7;9;6;8;9;9;8;3;10;6;9;4;8;6;8;3;7;7;8;3;7;8;7;7;3;7;7;6;2;8;7;7;7;10;6;7;3;7;6;7;2;4;4;7;7;7;7;9
Math_relax;5;2;6;5;1;5;6;10;2;4;4;6;3;4;8;3;4;6;1;7;5;7;3;5;3;1;6;6;6;4;3;2;6;3;0;6;4;3;7;3;3;4;2;6;3;3;9;3;4;4;9;7;4;6;8;7;6;5;7;3;2;4;3;2;3
Math_stress;6;6;3;4;7;6;6;1;8;6;5;3;6;4;3;6;6;6;9;7;4;6;6;5;5;6;4;8;5;7;6;7;6;7;6;6;4;3;6;2;5;4;5;8;8;6;0;4;7;6;2;2;5;6;2;3;1;3;2;8;8;6;8;7;6
Math_valence;;3;6;7;7;5;5;9;9;3;5;6;6;9;7;5;5;5;1;7;4;5;4;5;5;5;6;4;7;6;5;6;5;3;5;5;5;6;8;5;4;6;4;5;4;4;9;6;5;5;10;6;6;6;7;6;5;5;7;5;6;4;5;4;5
Math_arousal;;6;8;7;9;3;6;10;10;5;9;6;7;9;8;8;8;7;6;8;8;8;8;8;3;10;8;6;7;8;9;8;6;7;6;7;9;6;9;5;6;7;8;8;7;2;8;8;4;7;10;7;8;3;8;5;5;3;5;6;6;6;6;7;9
Reading_relax;8;3;3;7;0;5;8;6;5;6;6;7;3;7;4;6;8;7;9;6;5;6;6;7;8;7;4;7;4;3;6;3;5;3;2;4;5;4;7;4;6;6;2;6;4;3;9;4;2;4;9;2;7;7;8;8;7;8;8;4;2;4;4;3;2
Reading_stress;4;5;7;6;9;6;2;2;6;4;6;3;7;4;6;3;2;4;2;7;5;6;2;4;1;0;5;4;6;7;4;6;5;8;4;6;3;3;7;5;3;2;3;6;6;7;0;6;8;6;2;7;2;5;2;2;0;3;2;6;7;5;7;5;6
Reading_valence;;5;3;5;6;6;7;5;4;5;5;6;4;6;5;5;7;5;7;4;5;7;8;7;5;7;4;6;7;6;5;3;6;5;7;5;6;6;6;6;7;4;6;5;5;3;9;6;3;5;10;6;8;6;7;6;5;4;8;5;6;6;7;5;5
Reading_arousal;;6;7;8;10;3;3;8;7;7;6;6;7;7;8;3;8;8;9;8;8;8;7;8;0;10;6;6;8;8;7;8;4;7;8;6;9;6;7;8;8;7;8;7;6;4;8;6;7;7;10;5;8;4;8;5;3;3;4;4;6;6;7;6;5
Counting3_relax;5;3;5;5;1;2;3;4;5;4;3;1;3;2;5;4;5;4;7;6;3;4;2;6;3;3;6;6;6;5;3;3;4;2;1;4;2;2;6;5;6;2;2;6;4;2;9;4;3;4;9;4;4;6;8;7;2;8;7;4;2;4;7;7;1
Counting3_stress;7;7;6;3;9;8;6;4;6;6;7;8;7;5;5;7;5;6;5;4;6;6;7;4;7;6;6;3;3;7;7;6;7;8;4;7;7;5;7;6;4;4;4;7;6;6;1;6;7;6;2;5;6;4;2;2;3;3;2;5;7;7;6;1;7
Counting3_valence;;3;5;7;6;3;5;5;9;7;4;5;4;8;6;6;5;5;8;7;2;6;3;7;5;5;5;6;4;6;4;4;4;3;5;6;4;3;7;3;7;4;6;6;5;4;8;7;3;5;10;5;6;6;7;6;4;5;8;5;6;7;7;7;5
Counting3_arousal;;6;8;8;10;6;6;6;9;6;9;8;7;9;8;8;7;8;9;8;9;9;10;8;3;10;6;8;8;6;10;8;3;8;8;7;6;6;9;7;8;6;8;7;5;3;8;7;5;7;10;6;8;4;8;5;4;3;5;6;5;6;7;8;8
Relax_relax;6;;7;6;10;10;4;7;9;8;7;7;7;8;8;6;8;8;8;9;6;7;10;9;9;5;6;6;9;8;8;6;9;8;5;6;3;3;9;4;6;5;9;8;7;8;10;8;8;5;8;8;9;7;9;9;8;9;8;5;7;6;8;3;2
Relax_stress;6;;1;2;0;1;5;0;1;2;3;0;2;3;1;4;1;2;2;1;4;2;1;2;0;0;2;1;2;1;1;3;1;2;4;5;3;6;1;5;1;0;1;4;1;2;0;1;3;5;3;3;1;4;2;0;0;1;2;3;5;5;3;3;5
Relax_valence;;;7;6;8;6;5;7;5;5;6;6;6;6;8;5;6;6;7;8;4;7;7;8;7;5;5;5;8;6;9;7;9;8;6;4;3;3;9;5;6;5;6;7;7;7;10;7;7;5;10;7;8;6;7;6;5;8;7;5;6;7;8;5;5
Relax_arousal;;;6;5;8;2;3;0;1;4;4;1;1;6;2;0;1;3;8;2;2;1;2;4;3;3;4;6;2;2;2;4;9;7;7;2;0;6;8;6;3;2;5;7;1;2;9;8;2;7;10;9;9;3;7;4;2;1;3;3;7;6;5;0;4
Most_stressful;Counting2;Counting2;Speaking;Reading;Speaking;Counting3;Speaking;Speaking;Math;Speaking;Counting2;Counting3;Counting2;Counting2;Speaking;Counting2;Speaking;Counting1;Math;Stroop;Counting3;Stroop;Counting2;Stroop;Counting3;Counting3;Stroop;Counting1;Speaking;Counting2;Counting2;Speaking;Stroop;Math;Math;Speaking;Counting2;Counting2;Counting3;Counting3;Speaking;Speaking;Speaking;Math;Math;Reading;Counting3;Reading;Reading;Counting3;Counting3;Stroop;Counting2;Counting2;Reading;Counting2;Counting3;Stroop;Counting2;Counting1;Stroop;Counting2;Counting2;Counting2;Counting2
