,Relax,Stress,Valence,Arousal
qx2o_Counting2,4.0,7.0,5.0,6.0
qx2o_Stroop,7.0,2.0,7.0,2.0
qx2o_Math,6.0,6.0,5.0,6.0
qx2o_Speaking,3.0,7.0,2.0,8.0
qx2o_Reading,8.0,2.0,7.0,3.0
qx2o_Counting3,3.0,6.0,5.0,6.0
qx2o_Relax,4.0,5.0,5.0,3.0
wssm_Breathing,8.0,0.0,6.0,1.0
wssm_Video1,5.0,3.0,5.0,4.0
wssm_Video2,7.0,2.0,5.0,2.0
wssm_Counting1,5.0,6.0,4.0,7.0
wssm_Counting2,2.0,6.0,2.0,7.0
wssm_Stroop,5.0,4.0,5.0,6.0
wssm_Math,10.0,1.0,9.0,10.0
wssm_Speaking,3.0,7.0,2.0,6.0
wssm_Reading,6.0,2.0,5.0,8.0
wssm_Counting3,4.0,4.0,5.0,6.0
wssm_Relax,7.0,0.0,7.0,0.0
ctzy_Breathing,9.0,0.0,7.0,7.0
ctzy_Video1,4.0,6.0,4.0,7.0
ctzy_Video2,4.0,6.0,5.0,5.0
ctzy_Counting1,7.0,6.0,7.0,9.0
ctzy_Counting2,4.0,6.0,6.0,9.0
ctzy_Stroop,2.0,7.0,10.0,10.0
ctzy_Math,2.0,8.0,9.0,10.0
ctzy_Speaking,4.0,7.0,9.0,9.0
ctzy_Reading,5.0,6.0,4.0,7.0
ctzy_Counting3,5.0,6.0,9.0,9.0
ctzy_Relax,9.0,1.0,5.0,1.0
uyrl_Breathing,9.0,1.0,6.0,5.0
uyrl_Video1,7.0,3.0,6.0,6.0
uyrl_Video2,7.0,3.0,6.0,6.0
uyrl_Counting1,6.0,3.0,5.0,6.0
uyrl_Counting2,6.0,5.0,5.0,5.0
uyrl_Stroop,4.0,6.0,6.0,7.0
uyrl_Math,4.0,6.0,3.0,5.0
uyrl_Speaking,4.0,7.0,4.0,5.0
uyrl_Reading,6.0,4.0,5.0,7.0
uyrl_Counting3,4.0,6.0,7.0,6.0
uyrl_Relax,8.0,2.0,5.0,4.0
v8mh_Breathing,9.0,0.0,6.0,4.0
v8mh_Video1,8.0,1.0,8.0,8.0
v8mh_Video2,8.0,3.0,5.0,8.0
v8mh_Counting1,3.0,6.0,4.0,9.0
v8mh_Counting2,3.0,7.0,4.0,8.0
v8mh_Stroop,2.0,7.0,4.0,8.0
v8mh_Math,4.0,5.0,5.0,9.0
v8mh_Speaking,4.0,4.0,6.0,4.0
v8mh_Reading,6.0,6.0,5.0,6.0
v8mh_Counting3,3.0,7.0,4.0,9.0
v8mh_Relax,7.0,3.0,6.0,4.0
45lx_Breathing,7.0,0.0,8.0,4.0
45lx_Video1,7.0,0.0,6.0,3.0
45lx_Video2,4.0,3.0,4.0,5.0
45lx_Counting1,2.0,7.0,5.0,6.0
45lx_Counting2,1.0,8.0,5.0,6.0
45lx_Stroop,4.0,7.0,5.0,7.0
45lx_Math,6.0,3.0,6.0,6.0
45lx_Speaking,3.0,8.0,3.0,8.0
45lx_Reading,7.0,3.0,6.0,6.0
45lx_Counting3,1.0,8.0,5.0,8.0
45lx_Relax,7.0,0.0,6.0,1.0
r3zm_Breathing,6.0,3.0,5.0,2.0
r3zm_Video1,1.0,8.0,1.0,8.0
r3zm_Video2,2.0,6.0,3.0,6.0
r3zm_Counting1,5.0,5.0,5.0,7.0
r3zm_Counting2,4.0,6.0,5.0,7.0
r3zm_Stroop,3.0,7.0,3.0,8.0
r3zm_Math,3.0,6.0,6.0,7.0
r3zm_Speaking,7.0,2.0,7.0,5.0
r3zm_Reading,3.0,7.0,4.0,7.0
r3zm_Counting3,3.0,7.0,4.0,7.0
r3zm_Relax,7.0,2.0,6.0,1.0
2hpu_Breathing,9.0,2.0,6.0,3.0
2hpu_Video1,5.0,3.0,6.0,7.0
2hpu_Video2,5.0,4.0,5.0,7.0
2hpu_Counting1,4.0,7.0,8.0,9.0
2hpu_Counting2,6.0,6.0,9.0,10.0
2hpu_Stroop,3.0,6.0,5.0,8.0
2hpu_Math,4.0,4.0,9.0,9.0
2hpu_Speaking,3.0,7.0,4.0,7.0
2hpu_Reading,7.0,4.0,6.0,7.0
2hpu_Counting3,2.0,5.0,8.0,9.0
2hpu_Relax,8.0,3.0,6.0,6.0
4woj_Breathing,8.0,3.0,7.0,3.0
4woj_Video1,8.0,2.0,8.0,6.0
4woj_Video2,8.0,2.0,7.0,8.0
4woj_Counting1,3.0,8.0,4.0,7.0
4woj_Counting2,6.0,4.0,6.0,8.0
4woj_Stroop,8.0,3.0,7.0,8.0
4woj_Math,8.0,3.0,7.0,8.0
4woj_Speaking,2.0,8.0,4.0,8.0
4woj_Reading,4.0,6.0,5.0,8.0
4woj_Counting3,5.0,5.0,6.0,8.0
4woj_Relax,8.0,1.0,8.0,2.0
cxj0_Breathing,3.0,7.0,5.0,7.0
cxj0_Video1,5.0,1.0,8.0,3.0
cxj0_Video2,2.0,2.0,5.0,7.0
cxj0_Counting1,0.0,7.0,6.0,10.0
cxj0_Counting2,0.0,9.0,3.0,10.0
cxj0_Stroop,4.0,7.0,7.0,9.0
cxj0_Math,3.0,6.0,5.0,8.0
cxj0_Speaking,6.0,3.0,6.0,6.0
cxj0_Reading,6.0,3.0,5.0,3.0
cxj0_Counting3,4.0,7.0,6.0,8.0
cxj0_Relax,6.0,4.0,5.0,0.0
tmvd_Breathing,7.0,1.0,6.0,3.0
tmvd_Video1,7.0,2.0,7.0,5.0
tmvd_Video2,7.0,2.0,5.0,3.0
tmvd_Counting1,6.0,3.0,7.0,8.0
tmvd_Counting2,5.0,4.0,5.0,8.0
tmvd_Stroop,4.0,4.0,6.0,9.0
tmvd_Math,4.0,6.0,5.0,8.0
tmvd_Speaking,5.0,5.0,4.0,8.0
tmvd_Reading,8.0,2.0,7.0,8.0
tmvd_Counting3,5.0,5.0,5.0,7.0
tmvd_Relax,8.0,1.0,6.0,1.0
2ea4_Breathing,8.0,2.0,5.0,2.0
2ea4_Video1,6.0,3.0,7.0,7.0
2ea4_Video2,6.0,3.0,5.0,6.0
2ea4_Counting1,4.0,7.0,5.0,8.0
2ea4_Counting2,5.0,6.0,5.0,7.0
2ea4_Stroop,7.0,4.0,5.0,6.0
2ea4_Math,6.0,6.0,5.0,7.0
2ea4_Speaking,4.0,6.0,5.0,7.0
2ea4_Reading,7.0,4.0,5.0,8.0
2ea4_Counting3,4.0,6.0,5.0,8.0
2ea4_Relax,8.0,2.0,6.0,3.0
71i5_Breathing,7.0,5.0,5.0,2.0
71i5_Video1,3.0,5.0,7.0,8.0
71i5_Video2,2.0,6.0,5.0,8.0
71i5_Counting1,0.0,9.0,7.0,9.0
71i5_Counting2,1.0,8.0,2.0,9.0
71i5_Stroop,7.0,7.0,8.0,8.0
71i5_Math,1.0,9.0,1.0,6.0
71i5_Speaking,7.0,2.0,8.0,9.0
71i5_Reading,9.0,2.0,7.0,9.0
71i5_Counting3,7.0,5.0,8.0,9.0
71i5_Relax,8.0,2.0,7.0,8.0
kkf5_Breathing,9.0,1.0,8.0,2.0
kkf5_Video1,6.0,7.0,7.0,8.0
kkf5_Video2,4.0,7.0,6.0,8.0
kkf5_Counting1,6.0,6.0,8.0,9.0
kkf5_Counting2,3.0,8.0,6.0,9.0
kkf5_Stroop,2.0,9.0,4.0,9.0
kkf5_Math,7.0,7.0,7.0,8.0
kkf5_Speaking,3.0,6.0,5.0,6.0
kkf5_Reading,6.0,7.0,4.0,8.0
kkf5_Counting3,6.0,4.0,7.0,8.0
kkf5_Relax,9.0,1.0,8.0,2.0
uymz_Breathing,6.0,3.0,5.0,0.0
uymz_Video1,6.0,3.0,5.0,6.0
uymz_Video2,6.0,4.0,5.0,5.0
uymz_Counting1,6.0,3.0,5.0,7.0
uymz_Counting2,6.0,3.0,5.0,7.0
uymz_Stroop,5.0,5.0,5.0,8.0
uymz_Math,5.0,4.0,4.0,8.0
uymz_Speaking,6.0,3.0,5.0,8.0
uymz_Reading,5.0,5.0,5.0,8.0
uymz_Counting3,3.0,6.0,2.0,9.0
uymz_Relax,6.0,4.0,4.0,2.0
iqyg_Breathing,8.0,1.0,7.0,2.0
iqyg_Video1,3.0,7.0,8.0,3.0
iqyg_Video2,5.0,2.0,5.0,2.0
iqyg_Counting1,3.0,7.0,5.0,8.0
iqyg_Counting2,3.0,8.0,5.0,8.0
iqyg_Stroop,2.0,8.0,4.0,8.0
iqyg_Math,7.0,6.0,5.0,8.0
iqyg_Speaking,1.0,8.0,4.0,9.0
iqyg_Reading,6.0,6.0,7.0,8.0
iqyg_Counting3,4.0,6.0,6.0,9.0
iqyg_Relax,7.0,2.0,7.0,1.0
9txq_Breathing,8.0,0.0,9.0,3.0
9txq_Video1,3.0,6.0,7.0,8.0
9txq_Video2,2.0,8.0,3.0,7.0
9txq_Counting1,1.0,8.0,5.0,10.0
9txq_Counting2,0.0,10.0,2.0,9.0
9txq_Stroop,4.0,7.0,7.0,9.0
9txq_Math,3.0,6.0,4.0,8.0
9txq_Speaking,3.0,8.0,5.0,9.0
9txq_Reading,6.0,2.0,8.0,7.0
9txq_Counting3,2.0,7.0,3.0,10.0
9txq_Relax,10.0,1.0,7.0,2.0
kycf_Breathing,8.0,3.0,7.0,2.0
kycf_Video1,7.0,4.0,7.0,6.0
kycf_Video2,5.0,5.0,5.0,7.0
kycf_Counting1,5.0,5.0,6.0,8.0
kycf_Counting2,4.0,6.0,5.0,7.0
kycf_Stroop,4.0,7.0,6.0,9.0
kycf_Math,5.0,5.0,5.0,8.0
kycf_Speaking,5.0,6.0,5.0,8.0
kycf_Reading,7.0,4.0,7.0,8.0
kycf_Counting3,6.0,4.0,7.0,8.0
kycf_Relax,9.0,2.0,8.0,4.0
k67g_Breathing,8.0,0.0,6.0,0.0
k67g_Video1,3.0,3.0,7.0,5.0
k67g_Video2,3.0,6.0,5.0,3.0
k67g_Counting1,7.0,2.0,5.0,0.0
k67g_Counting2,3.0,5.0,5.0,2.0
k67g_Stroop,1.0,7.0,6.0,4.0
k67g_Math,3.0,5.0,5.0,3.0
k67g_Speaking,3.0,7.0,4.0,3.0
k67g_Reading,8.0,1.0,5.0,0.0
k67g_Counting3,3.0,7.0,5.0,3.0
k67g_Relax,9.0,0.0,7.0,3.0
chdf_Breathing,4.0,4.0,5.0,10.0
chdf_Video1,3.0,1.0,5.0,3.0
chdf_Video2,2.0,4.0,5.0,5.0
chdf_Counting1,2.0,4.0,5.0,8.0
chdf_Counting2,1.0,7.0,5.0,10.0
chdf_Stroop,2.0,6.0,5.0,10.0
chdf_Math,1.0,6.0,5.0,10.0
chdf_Speaking,3.0,5.0,5.0,10.0
chdf_Reading,7.0,0.0,7.0,10.0
chdf_Counting3,3.0,6.0,5.0,10.0
chdf_Relax,5.0,0.0,5.0,3.0
bfl5_Breathing,8.0,1.0,6.0,6.0
bfl5_Video1,7.0,1.0,7.0,8.0
bfl5_Video2,6.0,2.0,6.0,7.0
bfl5_Counting1,6.0,2.0,5.0,8.0
bfl5_Counting2,5.0,3.0,5.0,9.0
bfl5_Stroop,4.0,7.0,4.0,9.0
bfl5_Math,6.0,4.0,6.0,8.0
bfl5_Speaking,5.0,3.0,5.0,6.0
bfl5_Reading,4.0,5.0,4.0,6.0
bfl5_Counting3,6.0,6.0,5.0,6.0
bfl5_Relax,6.0,2.0,5.0,4.0
dmbd_Breathing,8.0,1.0,8.0,7.0
dmbd_Video1,8.0,2.0,8.0,9.0
dmbd_Video2,5.0,7.0,4.0,7.0
dmbd_Counting1,4.0,9.0,0.0,4.0
dmbd_Counting2,6.0,7.0,5.0,5.0
dmbd_Stroop,6.0,5.0,6.0,6.0
dmbd_Math,6.0,8.0,4.0,6.0
dmbd_Speaking,8.0,2.0,7.0,9.0
dmbd_Reading,7.0,4.0,6.0,6.0
dmbd_Counting3,6.0,3.0,6.0,8.0
dmbd_Relax,6.0,1.0,5.0,6.0
8g4y_Breathing,9.0,2.0,8.0,5.0
8g4y_Video1,8.0,1.0,6.0,7.0
8g4y_Video2,6.0,3.0,4.0,6.0
8g4y_Counting1,7.0,4.0,8.0,8.0
8g4y_Counting2,6.0,5.0,5.0,6.0
8g4y_Stroop,4.0,5.0,7.0,8.0
8g4y_Math,6.0,5.0,7.0,7.0
8g4y_Speaking,2.0,7.0,3.0,4.0
8g4y_Reading,4.0,6.0,7.0,8.0
8g4y_Counting3,6.0,3.0,4.0,8.0
8g4y_Relax,9.0,2.0,8.0,2.0
qw5t_Breathing,9.0,2.0,6.0,3.0
qw5t_Video1,4.0,6.0,7.0,7.0
qw5t_Video2,3.0,7.0,4.0,8.0
qw5t_Counting1,0.0,9.0,5.0,8.0
qw5t_Counting2,2.0,8.0,5.0,7.0
qw5t_Stroop,4.0,7.0,6.0,9.0
qw5t_Math,4.0,7.0,6.0,8.0
qw5t_Speaking,4.0,8.0,7.0,8.0
qw5t_Reading,3.0,7.0,6.0,8.0
qw5t_Counting3,5.0,7.0,6.0,6.0
qw5t_Relax,8.0,1.0,6.0,2.0
h8r2_Breathing,9.0,1.0,5.0,1.0
h8r2_Video1,6.0,4.0,7.0,7.0
h8r2_Video2,4.0,4.0,4.0,5.0
h8r2_Counting1,3.0,7.0,5.0,9.0
h8r2_Counting2,3.0,7.0,3.0,9.0
h8r2_Stroop,3.0,5.0,5.0,10.0
h8r2_Math,3.0,6.0,5.0,9.0
h8r2_Speaking,3.0,7.0,3.0,6.0
h8r2_Reading,6.0,4.0,5.0,7.0
h8r2_Counting3,3.0,7.0,4.0,10.0
h8r2_Relax,8.0,1.0,9.0,2.0
2z7d_Breathing,6.0,6.0,4.0,5.0
2z7d_Video1,7.0,2.0,8.0,7.0
2z7d_Video2,3.0,8.0,5.0,7.0
2z7d_Counting1,2.0,7.0,4.0,7.0
2z7d_Counting2,1.0,8.0,3.0,9.0
2z7d_Stroop,1.0,8.0,6.0,9.0
2z7d_Math,2.0,7.0,6.0,8.0
2z7d_Speaking,1.0,9.0,2.0,8.0
2z7d_Reading,3.0,6.0,3.0,8.0
2z7d_Counting3,3.0,6.0,4.0,8.0
2z7d_Relax,6.0,3.0,7.0,4.0
j9h8_Breathing,8.0,6.0,5.0,6.0
j9h8_Video1,8.0,4.0,9.0,8.0
j9h8_Video2,3.0,8.0,5.0,7.0
j9h8_Counting1,3.0,7.0,2.0,8.0
j9h8_Counting2,5.0,6.0,5.0,9.0
j9h8_Stroop,3.0,9.0,2.0,8.0
j9h8_Math,6.0,6.0,5.0,6.0
j9h8_Speaking,3.0,8.0,3.0,3.0
j9h8_Reading,5.0,5.0,6.0,4.0
j9h8_Counting3,4.0,7.0,4.0,3.0
j9h8_Relax,9.0,1.0,9.0,9.0
9t6n_Breathing,6.0,4.0,7.0,6.0
9t6n_Video1,5.0,5.0,7.0,6.0
9t6n_Video2,5.0,6.0,5.0,6.0
9t6n_Counting1,3.0,7.0,4.0,8.0
9t6n_Counting2,2.0,8.0,3.0,9.0
9t6n_Stroop,3.0,7.0,7.0,9.0
9t6n_Math,3.0,7.0,3.0,7.0
9t6n_Speaking,4.0,7.0,6.0,7.0
9t6n_Reading,3.0,8.0,5.0,7.0
9t6n_Counting3,2.0,8.0,3.0,8.0
9t6n_Relax,8.0,2.0,8.0,7.0
u3v9_Breathing,7.0,5.0,5.0,7.0
u3v9_Video1,6.0,5.0,5.0,6.0
u3v9_Video2,3.0,5.0,5.0,6.0
u3v9_Counting1,0.0,4.0,5.0,6.0
u3v9_Counting2,0.0,4.0,4.0,6.0
u3v9_Stroop,0.0,6.0,6.0,7.0
u3v9_Math,0.0,6.0,5.0,6.0
u3v9_Speaking,3.0,5.0,5.0,7.0
u3v9_Reading,2.0,4.0,7.0,8.0
u3v9_Counting3,1.0,4.0,5.0,8.0
u3v9_Relax,5.0,4.0,6.0,7.0
w2t5_Breathing,8.0,3.0,6.0,5.0
w2t5_Video1,8.0,0.0,8.0,7.0
w2t5_Video2,6.0,4.0,4.0,5.0
w2t5_Counting1,2.0,6.0,3.0,7.0
w2t5_Counting2,1.0,8.0,6.0,7.0
w2t5_Stroop,6.0,4.0,8.0,10.0
w2t5_Math,6.0,6.0,5.0,7.0
w2t5_Speaking,2.0,7.0,5.0,8.0
w2t5_Reading,4.0,6.0,5.0,6.0
w2t5_Counting3,4.0,7.0,6.0,7.0
w2t5_Relax,6.0,5.0,4.0,2.0
7m3c_Breathing,6.0,0.0,6.0,5.0
7m3c_Video1,3.0,6.0,3.0,6.0
7m3c_Video2,1.0,7.0,1.0,5.0
7m3c_Counting1,2.0,7.0,4.0,8.0
7m3c_Counting2,0.0,8.0,3.0,8.0
7m3c_Stroop,6.0,3.0,8.0,10.0
7m3c_Math,4.0,4.0,5.0,9.0
7m3c_Speaking,2.0,8.0,0.0,3.0
7m3c_Reading,5.0,3.0,6.0,9.0
7m3c_Counting3,2.0,7.0,4.0,6.0
7m3c_Relax,3.0,3.0,3.0,0.0
6k5f_Breathing,7.0,0.0,6.0,8.0
6k5f_Video1,4.0,1.0,8.0,9.0
6k5f_Video2,4.0,2.0,4.0,8.0
6k5f_Counting1,2.0,7.0,3.0,6.0
6k5f_Counting2,1.0,7.0,2.0,6.0
6k5f_Stroop,2.0,5.0,3.0,7.0
6k5f_Math,3.0,3.0,6.0,6.0
6k5f_Speaking,2.0,8.0,3.0,7.0
6k5f_Reading,4.0,3.0,6.0,6.0
6k5f_Counting3,2.0,5.0,3.0,6.0
6k5f_Relax,3.0,6.0,3.0,6.0
x1q3_Breathing,7.0,2.0,8.0,10.0
x1q3_Video1,7.0,6.0,7.0,10.0
x1q3_Video2,0.0,8.0,3.0,9.0
x1q3_Counting1,5.0,8.0,7.0,9.0
x1q3_Counting2,7.0,8.0,7.0,9.0
x1q3_Stroop,7.0,7.0,8.0,8.0
x1q3_Math,7.0,6.0,8.0,9.0
x1q3_Speaking,8.0,8.0,8.0,8.0
x1q3_Reading,7.0,7.0,6.0,7.0
x1q3_Counting3,6.0,7.0,7.0,9.0
x1q3_Relax,9.0,1.0,9.0,8.0
r5s8_Breathing,1.0,0.0,5.0,3.0
r5s8_Video1,6.0,2.0,8.0,9.0
r5s8_Video2,5.0,2.0,6.0,5.0
r5s8_Counting1,7.0,2.0,4.0,5.0
r5s8_Counting2,4.0,7.0,3.0,7.0
r5s8_Stroop,3.0,6.0,8.0,7.0
r5s8_Math,3.0,2.0,5.0,5.0
r5s8_Speaking,3.0,3.0,8.0,7.0
r5s8_Reading,4.0,5.0,6.0,8.0
r5s8_Counting3,5.0,6.0,3.0,7.0
r5s8_Relax,4.0,5.0,5.0,6.0
y9z6_Breathing,8.0,3.0,7.0,5.0
y9z6_Video1,3.0,5.0,4.0,6.0
y9z6_Video2,3.0,4.0,5.0,4.0
y9z6_Counting1,6.0,5.0,7.0,7.0
y9z6_Counting2,4.0,6.0,6.0,8.0
y9z6_Stroop,4.0,6.0,6.0,7.0
y9z6_Math,3.0,5.0,4.0,6.0
y9z6_Speaking,2.0,7.0,4.0,7.0
y9z6_Reading,6.0,3.0,7.0,8.0
y9z6_Counting3,6.0,4.0,7.0,8.0
y9z6_Relax,6.0,1.0,6.0,3.0
4e8r_Breathing,8.0,0.0,5.0,5.0
4e8r_Video1,7.0,1.0,6.0,6.0
4e8r_Video2,5.0,1.0,4.0,4.0
4e8r_Counting1,3.0,4.0,5.0,6.0
4e8r_Counting2,3.0,4.0,5.0,5.0
4e8r_Stroop,3.0,4.0,5.0,6.0
4e8r_Math,4.0,4.0,6.0,7.0
4e8r_Speaking,4.0,3.0,4.0,3.0
4e8r_Reading,6.0,2.0,4.0,7.0
4e8r_Counting3,2.0,4.0,4.0,6.0
4e8r_Relax,5.0,0.0,5.0,2.0
5f7t_Breathing,10.0,0.0,6.0,4.0
5f7t_Video1,6.0,2.0,6.0,6.0
5f7t_Video2,5.0,2.0,6.0,6.0
5f7t_Counting1,3.0,4.0,6.0,9.0
5f7t_Counting2,3.0,5.0,5.0,9.0
5f7t_Stroop,2.0,5.0,6.0,9.0
5f7t_Math,2.0,5.0,4.0,8.0
5f7t_Speaking,3.0,4.0,4.0,7.0
5f7t_Reading,2.0,3.0,6.0,8.0
5f7t_Counting3,2.0,4.0,6.0,8.0
5f7t_Relax,9.0,1.0,6.0,5.0
k2v7_Breathing,7.0,5.0,6.0,7.0
k2v7_Video1,8.0,4.0,9.0,7.0
k2v7_Video2,7.0,5.0,3.0,6.0
k2v7_Counting1,7.0,6.0,5.0,8.0
k2v7_Counting2,7.0,6.0,6.0,7.0
k2v7_Stroop,6.0,7.0,7.0,7.0
k2v7_Math,6.0,8.0,5.0,8.0
k2v7_Speaking,7.0,6.0,7.0,7.0
k2v7_Reading,6.0,6.0,5.0,7.0
k2v7_Counting3,6.0,7.0,6.0,7.0
k2v7_Relax,8.0,4.0,7.0,7.0
6g6y_Breathing,8.0,2.0,7.0,3.0
6g6y_Video1,2.0,8.0,5.0,8.0
6g6y_Video2,5.0,5.0,4.0,6.0
6g6y_Counting1,6.0,5.0,5.0,4.0
6g6y_Counting2,3.0,7.0,3.0,7.0
6g6y_Stroop,2.0,6.0,5.0,8.0
6g6y_Math,3.0,8.0,4.0,7.0
6g6y_Speaking,4.0,7.0,3.0,6.0
6g6y_Reading,4.0,6.0,5.0,6.0
6g6y_Counting3,4.0,6.0,5.0,5.0
6g6y_Relax,7.0,1.0,7.0,1.0
9j3o_Breathing,6.0,2.0,7.0,1.0
9j3o_Video1,8.0,2.0,9.0,3.0
9j3o_Video2,7.0,3.0,6.0,3.0
9j3o_Counting1,4.0,6.0,4.0,3.0
9j3o_Counting2,4.0,7.0,4.0,4.0
9j3o_Stroop,5.0,7.0,4.0,4.0
9j3o_Math,3.0,6.0,4.0,2.0
9j3o_Speaking,3.0,7.0,6.0,2.0
9j3o_Reading,3.0,7.0,3.0,4.0
9j3o_Counting3,2.0,6.0,4.0,3.0
9j3o_Relax,8.0,2.0,7.0,2.0
8i4i_Breathing,10.0,0.0,9.0,7.0
8i4i_Video1,10.0,0.0,7.0,7.0
8i4i_Video2,10.0,0.0,8.0,7.0
8i4i_Counting1,9.0,0.0,9.0,7.0
8i4i_Counting2,9.0,1.0,9.0,7.0
8i4i_Stroop,9.0,1.0,9.0,7.0
8i4i_Math,9.0,0.0,9.0,8.0
8i4i_Speaking,9.0,0.0,8.0,8.0
8i4i_Reading,9.0,0.0,9.0,8.0
8i4i_Counting3,9.0,1.0,8.0,8.0
8i4i_Relax,10.0,0.0,10.0,9.0
7h5u_Breathing,8.0,2.0,6.0,2.0
7h5u_Video1,9.0,0.0,7.0,8.0
7h5u_Video2,3.0,2.0,5.0,7.0
7h5u_Counting1,5.0,4.0,6.0,8.0
7h5u_Counting2,4.0,5.0,6.0,6.0
7h5u_Stroop,2.0,6.0,4.0,8.0
7h5u_Math,3.0,4.0,6.0,8.0
7h5u_Speaking,4.0,6.0,7.0,7.0
7h5u_Reading,4.0,6.0,6.0,6.0
7h5u_Counting3,4.0,6.0,7.0,7.0
7h5u_Relax,8.0,1.0,7.0,8.0
h8s1_Breathing,8.0,3.0,6.0,7.0
h8s1_Video1,6.0,2.0,7.0,4.0
h8s1_Video2,5.0,4.0,5.0,5.0
h8s1_Counting1,2.0,8.0,3.0,7.0
h8s1_Counting2,2.0,8.0,3.0,7.0
h8s1_Stroop,2.0,9.0,3.0,8.0
h8s1_Math,4.0,7.0,5.0,4.0
h8s1_Speaking,3.0,8.0,3.0,7.0
h8s1_Reading,2.0,8.0,3.0,7.0
h8s1_Counting3,3.0,7.0,3.0,5.0
h8s1_Relax,8.0,3.0,7.0,2.0
i9t9_Breathing,4.0,6.0,5.0,7.0
i9t9_Video1,5.0,5.0,5.0,7.0
i9t9_Video2,5.0,5.0,5.0,7.0
i9t9_Counting1,5.0,5.0,5.0,7.0
i9t9_Counting2,4.0,6.0,5.0,7.0
i9t9_Stroop,4.0,6.0,5.0,7.0
i9t9_Math,4.0,6.0,5.0,7.0
i9t9_Speaking,4.0,6.0,5.0,7.0
i9t9_Reading,4.0,6.0,5.0,7.0
i9t9_Counting3,4.0,6.0,5.0,7.0
i9t9_Relax,5.0,5.0,5.0,7.0
j1u8_Breathing,7.0,3.0,9.0,10.0
j1u8_Video1,7.0,3.0,10.0,10.0
j1u8_Video2,7.0,3.0,10.0,10.0
j1u8_Counting1,10.0,2.0,10.0,10.0
j1u8_Counting2,7.0,4.0,10.0,10.0
