subject_task,binary_relax,binary_valence,binary_arousal
k67g_Speaking,0,0,0
k67g_Math,0,0,0
k67g_Reading,1,0,0
k67g_Counting3,0,0,0
k67g_Relax,1,1,0
chdf_Breathing,0,0,1
chdf_Video1,0,0,0
chdf_Video2,0,0,0
chdf_Counting1,0,0,1
chdf_Counting2,0,0,1
chdf_Stroop,0,0,1
chdf_Speaking,0,0,1
chdf_Math,0,0,1
chdf_Reading,1,1,1
chdf_Counting3,0,0,1
chdf_Relax,0,0,0
bfl5_Breathing,1,1,1
bfl5_Video1,1,1,1
bfl5_Video2,1,1,1
bfl5_Counting1,1,0,1
bfl5_Counting2,0,0,1
bfl5_Stroop,0,0,1
bfl5_Speaking,0,0,1
bfl5_Math,1,1,1
bfl5_Reading,0,0,1
bfl5_Counting3,1,0,1
bfl5_Relax,1,0,0
dmbd_Breathing,1,1,1
dmbd_Video1,1,1,1
dmbd_Video2,0,0,1
dmbd_Counting1,0,0,0
dmbd_Counting2,1,0,0
dmbd_Stroop,1,1,1
dmbd_Speaking,1,1,1
dmbd_Math,1,0,1
dmbd_Reading,1,1,1
dmbd_Counting3,1,1,1
dmbd_Relax,1,0,1
8g4y_Breathing,1,1,0
8g4y_Video1,1,1,1
8g4y_Video2,1,0,1
8g4y_Counting1,1,1,1
8g4y_Counting2,1,0,1
8g4y_Stroop,0,1,1
8g4y_Speaking,0,0,0
8g4y_Math,1,1,1
8g4y_Reading,0,1,1
8g4y_Counting3,1,0,1
8g4y_Relax,1,1,0
qw5t_Breathing,1,1,0
qw5t_Video1,0,1,1
qw5t_Video2,0,0,1
qw5t_Counting1,0,0,1
qw5t_Counting2,0,0,1
qw5t_Stroop,0,1,1
qw5t_Speaking,0,1,1
qw5t_Math,0,1,1
qw5t_Reading,0,1,1
qw5t_Counting3,0,1,1
qw5t_Relax,1,1,0
h8r2_Breathing,1,0,0
h8r2_Video1,1,1,1
h8r2_Video2,0,0,0
h8r2_Counting1,0,0,1
h8r2_Counting2,0,0,1
h8r2_Stroop,0,0,1
h8r2_Speaking,0,0,1
h8r2_Math,0,0,1
h8r2_Reading,1,0,1
h8r2_Counting3,0,0,1
h8r2_Relax,1,1,0
2z7d_Breathing,1,0,0
2z7d_Video1,1,1,1
2z7d_Video2,0,0,1
2z7d_Counting1,0,0,1
2z7d_Counting2,0,0,1
2z7d_Stroop,0,1,1
2z7d_Speaking,0,0,1
2z7d_Math,0,1,1
2z7d_Reading,0,0,1
2z7d_Counting3,0,0,1
2z7d_Relax,1,1,0
j9h8_Breathing,1,0,1
j9h8_Video1,1,1,1
j9h8_Video2,0,0,1
j9h8_Counting1,0,0,1
j9h8_Counting2,0,0,1
j9h8_Stroop,0,0,1
j9h8_Speaking,0,0,0
j9h8_Math,1,0,1
j9h8_Reading,0,1,0
j9h8_Counting3,0,0,0
j9h8_Relax,1,1,1
9t6n_Breathing,1,1,1
9t6n_Video1,0,1,1
9t6n_Video2,0,0,1
9t6n_Counting1,0,0,1
9t6n_Counting2,0,0,1
9t6n_Stroop,0,1,1
9t6n_Speaking,0,1,1
9t6n_Math,0,0,1
9t6n_Reading,0,0,1
9t6n_Counting3,0,0,1
9t6n_Relax,1,1,1
u3v9_Breathing,1,0,1
u3v9_Video1,1,0,1
u3v9_Video2,0,0,1
u3v9_Counting1,0,0,1
u3v9_Counting2,0,0,1
u3v9_Stroop,0,1,1
u3v9_Speaking,0,0,1
u3v9_Math,0,0,1
u3v9_Reading,0,1,1
u3v9_Counting3,0,0,1
u3v9_Relax,0,1,1
w2t5_Breathing,1,1,0
w2t5_Video1,1,1,1
w2t5_Video2,1,0,0
w2t5_Counting1,0,0,1
w2t5_Counting2,0,1,1
w2t5_Stroop,1,1,1
w2t5_Speaking,0,0,1
w2t5_Math,1,0,1
w2t5_Reading,0,0,1
w2t5_Counting3,0,1,1
w2t5_Relax,1,0,0
7m3c_Breathing,1,1,0
7m3c_Video1,0,0,1
7m3c_Video2,0,0,0
7m3c_Counting1,0,0,1
7m3c_Counting2,0,0,1
7m3c_Stroop,1,1,1
7m3c_Speaking,0,0,0
7m3c_Math,0,0,1
7m3c_Reading,0,1,1
7m3c_Counting3,0,0,1
7m3c_Relax,0,0,0
6k5f_Breathing,1,1,1
6k5f_Video1,0,1,1
6k5f_Video2,0,0,1
6k5f_Counting1,0,0,1
6k5f_Counting2,0,0,1
6k5f_Stroop,0,0,1
6k5f_Speaking,0,0,1
6k5f_Math,0,1,1
6k5f_Reading,0,1,1
6k5f_Counting3,0,0,1
6k5f_Relax,0,0,1
x1q3_Breathing,1,1,1
x1q3_Video1,1,1,1
x1q3_Video2,0,0,1
x1q3_Counting1,0,1,1
x1q3_Counting2,1,1,1
x1q3_Stroop,1,1,1
x1q3_Speaking,1,1,1
x1q3_Math,1,1,1
x1q3_Reading,1,1,1
x1q3_Counting3,1,1,1
x1q3_Relax,1,1,1
r5s8_Breathing,0,0,0
r5s8_Video1,1,1,1
r5s8_Video2,0,1,0
r5s8_Counting1,1,0,0
r5s8_Counting2,0,0,1
r5s8_Stroop,0,1,1
r5s8_Speaking,0,1,1
r5s8_Math,0,0,0
r5s8_Reading,0,1,1
r5s8_Counting3,0,0,1
r5s8_Relax,0,0,1
y9z6_Breathing,1,1,0
y9z6_Video1,0,0,1
y9z6_Video2,0,0,0
y9z6_Counting1,1,1,1
y9z6_Counting2,0,1,1
y9z6_Stroop,0,1,1
y9z6_Speaking,0,0,1
y9z6_Math,0,0,1
y9z6_Reading,1,1,1
y9z6_Counting3,1,1,1
y9z6_Relax,1,1,0
4e8r_Breathing,1,0,0
4e8r_Video1,1,1,1
4e8r_Video2,0,0,0
4e8r_Counting1,0,0,1
4e8r_Counting2,0,0,0
4e8r_Stroop,0,0,1
4e8r_Speaking,0,0,0
4e8r_Math,0,1,1
4e8r_Reading,1,0,1
4e8r_Counting3,0,0,1
4e8r_Relax,0,0,0
5f7t_Breathing,1,1,0
5f7t_Video1,1,1,1
5f7t_Video2,0,1,1
5f7t_Counting1,0,1,1
5f7t_Counting2,0,0,1
5f7t_Stroop,0,1,1
5f7t_Speaking,0,0,1
5f7t_Math,0,0,1
5f7t_Reading,0,1,1
5f7t_Counting3,0,1,1
5f7t_Relax,1,1,0
k2v7_Breathing,1,1,1
k2v7_Video1,1,1,1
k2v7_Video2,1,0,1
k2v7_Counting1,1,0,1
k2v7_Counting2,1,1,1
k2v7_Stroop,1,1,1
k2v7_Speaking,1,1,1
k2v7_Math,1,0,1
k2v7_Reading,1,0,1
k2v7_Counting3,1,1,1
k2v7_Relax,1,1,1
6g6y_Breathing,1,1,0
6g6y_Video1,0,0,1
6g6y_Video2,0,0,1
6g6y_Counting1,1,0,0
6g6y_Counting2,0,0,1
6g6y_Stroop,0,0,1
6g6y_Speaking,0,0,1
6g6y_Math,0,0,1
6g6y_Reading,0,0,1
6g6y_Counting3,0,0,0
6g6y_Relax,1,1,0
9j3o_Breathing,1,1,0
9j3o_Video1,1,1,0
9j3o_Video2,1,1,0
9j3o_Counting1,0,0,0
9j3o_Counting2,0,0,0
9j3o_Stroop,0,0,0
9j3o_Speaking,0,1,0
9j3o_Math,0,0,0
9j3o_Reading,0,0,0
9j3o_Counting3,0,0,0
9j3o_Relax,1,1,0
8i4i_Breathing,1,1,1
8i4i_Video1,1,1,1
8i4i_Video2,1,1,1
8i4i_Counting1,1,1,1
8i4i_Counting2,1,1,1
8i4i_Stroop,1,1,1
8i4i_Speaking,1,1,1
8i4i_Math,1,1,1
8i4i_Reading,1,1,1
8i4i_Counting3,1,1,1
8i4i_Relax,1,1,1
7h5u_Breathing,1,1,0
7h5u_Video1,1,1,1
7h5u_Video2,0,0,1
7h5u_Counting1,0,1,1
7h5u_Counting2,0,1,1
7h5u_Stroop,0,0,1
7h5u_Speaking,0,1,1
7h5u_Math,0,1,1
7h5u_Reading,0,1,1
7h5u_Counting3,0,1,1
7h5u_Relax,1,1,1
h8s1_Breathing,1,1,1
h8s1_Video1,1,1,0
h8s1_Video2,0,0,0
h8s1_Counting1,0,0,1
h8s1_Counting2,0,0,1
h8s1_Stroop,0,0,1
h8s1_Speaking,0,0,1
h8s1_Math,0,0,0
h8s1_Reading,0,0,1
h8s1_Counting3,0,0,0
h8s1_Relax,1,1,0
i9t9_Breathing,0,0,1
i9t9_Video1,0,0,1
i9t9_Video2,0,0,1
i9t9_Counting1,0,0,1
i9t9_Counting2,0,0,1
i9t9_Stroop,0,0,1
i9t9_Speaking,0,0,1
i9t9_Math,0,0,1
i9t9_Reading,0,0,1
i9t9_Counting3,0,0,1
i9t9_Relax,0,0,1
j1u8_Breathing,1,1,1
j1u8_Video1,1,1,1
j1u8_Video2,1,1,1
j1u8_Counting1,1,1,1
j1u8_Counting2,1,1,1
j1u8_Stroop,1,1,1
j1u8_Speaking,1,1,1
j1u8_Math,1,1,1
j1u8_Reading,1,1,1
j1u8_Counting3,1,1,1
j1u8_Relax,1,1,1
m8g5_Breathing,1,1,1
m8g5_Video1,1,1,1
m8g5_Video2,0,1,1
m8g5_Counting1,0,1,1
m8g5_Counting2,0,0,1
m8g5_Stroop,0,0,1
m8g5_Speaking,1,0,1
m8g5_Math,1,1,1
m8g5_Reading,0,1,0
m8g5_Counting3,0,0,1
m8g5_Relax,1,1,1
p9i3_Breathing,1,0,1
p9i3_Video1,1,1,1
p9i3_Video2,0,0,1
p9i3_Counting1,0,0,1
p9i3_Counting2,0,0,1
p9i3_Stroop,0,1,1
p9i3_Speaking,0,0,1
p9i3_Math,0,1,1
p9i3_Reading,1,1,1
p9i3_Counting3,0,1,1
p9i3_Relax,1,1,1
g9j5_Breathing,1,0,0
g9j5_Video1,1,1,0
g9j5_Video2,1,1,0
g9j5_Counting1,1,0,0
g9j5_Counting2,0,0,0
g9j5_Stroop,1,1,0
g9j5_Speaking,1,1,0
g9j5_Math,1,1,0
g9j5_Reading,1,1,0
g9j5_Counting3,1,1,0
g9j5_Relax,1,1,0
h7j3_Breathing,1,0,1
h7j3_Video1,1,1,1
h7j3_Video2,1,1,1
h7j3_Counting1,1,0,1
h7j3_Counting2,1,1,1
h7j3_Stroop,1,1,1
h7j3_Speaking,1,1,1
h7j3_Math,1,1,1
h7j3_Reading,1,1,1
h7j3_Counting3,1,1,1
h7j3_Relax,1,1,1
y8c3_Breathing,1,0,1
y8c3_Video1,1,1,1
y8c3_Video2,1,1,1
y8c3_Counting1,1,1,1
y8c3_Counting2,1,0,1
y8c3_Stroop,1,1,0
y8c3_Speaking,1,0,1
y8c3_Math,1,1,0
y8c3_Reading,1,1,0
y8c3_Counting3,1,1,0
y8c3_Relax,1,1,0
g7r2_Breathing,1,1,0
g7r2_Video1,1,1,1
g7r2_Video2,1,0,1
g7r2_Counting1,0,1,1
g7r2_Counting2,0,0,1
g7r2_Stroop,0,0,1
g7r2_Speaking,0,0,1
g7r2_Math,1,0,0
g7r2_Reading,1,0,0
g7r2_Counting3,0,0,0
g7r2_Relax,1,0,0
f6q3_Breathing,1,1,0
f6q3_Video1,1,1,0
f6q3_Video2,1,1,0
f6q3_Counting1,1,0,0
f6q3_Counting2,1,0,0
f6q3_Stroop,1,0,0
f6q3_Speaking,1,0,0
f6q3_Math,0,0,0
f6q3_Reading,1,0,0
f6q3_Counting3,1,0,0
f6q3_Relax,1,1,0
e5p4_Breathing,1,1,0
e5p4_Video1,1,1,0
e5p4_Video2,1,1,0
e5p4_Counting1,1,1,0
e5p4_Counting2,1,1,0
e5p4_Stroop,1,1,0
e5p4_Speaking,1,1,0
e5p4_Math,1,1,0
e5p4_Reading,1,1,0
e5p4_Counting3,1,1,0
e5p4_Relax,1,1,0
d4n6_Breathing,0,0,0
d4n6_Video1,0,1,0
d4n6_Video2,0,0,1
d4n6_Counting1,0,0,1
d4n6_Counting2,1,0,1
d4n6_Stroop,0,0,0
d4n6_Speaking,0,0,0
d4n6_Math,0,0,1
d4n6_Reading,0,0,0
d4n6_Counting3,0,0,1
d4n6_Relax,0,0,0
c3m7_Breathing,0,1,1
c3m7_Video1,0,1,1
c3m7_Video2,1,1,1
c3m7_Counting1,0,1,1
c3m7_Counting2,0,1,1
c3m7_Stroop,0,1,1
c3m7_Speaking,0,1,1
c3m7_Math,0,1,1
c3m7_Reading,0,1,1
c3m7_Counting3,0,1,0
c3m7_Relax,1,1,1
b2l8_Breathing,1,1,1
b2l8_Video1,0,1,1
b2l8_Video2,0,1,1
b2l8_Counting1,0,0,1
b2l8_Counting2,0,0,0
b2l8_Stroop,0,1,1
b2l8_Speaking,1,1,1
b2l8_Math,0,0,1
b2l8_Reading,0,1,1
b2l8_Counting3,0,1,1
b2l8_Relax,1,1,1
a1k9_Breathing,1,1,1
a1k9_Video1,1,1,1
a1k9_Video2,1,1,1
a1k9_Counting1,0,0,1
a1k9_Counting2,0,0,1
a1k9_Stroop,0,0,1
a1k9_Speaking,0,1,1
a1k9_Math,0,0,1
a1k9_Reading,0,1,1
a1k9_Counting3,1,1,1
a1k9_Relax,1,1,0
t6v9_Breathing,0,1,0
t6v9_Video1,1,1,1
t6v9_Video2,1,0,1
t6v9_Counting1,0,0,1
t6v9_Counting2,0,0,1
t6v9_Stroop,0,0,1
t6v9_Speaking,0,0,1
t6v9_Math,0,0,1
t6v9_Reading,0,0,1
t6v9_Counting3,1,1,1
t6v9_Relax,0,0,0
b9w0_Breathing,1,1,1
b9w0_Video1,0,0,1
b9w0_Video2,0,0,1
b9w0_Counting1,0,0,1
b9w0_Counting2,0,0,1
b9w0_Stroop,0,0,1
b9w0_Speaking,0,0,1
b9w0_Math,0,0,1
b9w0_Reading,0,0,0
b9w0_Counting3,0,0,1
b9w0_Relax,0,0,0
